Test,Test,Test
"how does it work, works",How does the Coravin work?,The Coravin™ Wine System works with a specially designed argon gas capsule that is inserted into the unit cup. This allows the wine bottle to pressurize and force the wine through the needle and into your glass. 
how do i use it,How does the Coravin work?,The Coravin™ Wine System works with a specially designed argon gas capsule that is inserted into the unit cup. This allows the wine bottle to pressurize and force the wine through the needle and into your glass. 
show me how it works,How does the Coravin work?,The Coravin™ Wine System works with a specially designed argon gas capsule that is inserted into the unit cup. This allows the wine bottle to pressurize and force the wine through the needle and into your glass. 
How does the Coravin work?,How does the Coravin work?,The Coravin™ Wine System works with a specially designed argon gas capsule that is inserted into the unit cup. This allows the wine bottle to pressurize and force the wine through the needle and into your glass. 
How do I know if there is gas in the Coravin?,How do I know if there is gas in the Coravin?,"When you press the trigger you should hear a “psst” indicating there is gas in the capsule. If you do not hear gas you may need to replace the capsule. However, you also want to check to ensure that your needle is not clogged."
it won't pour,How do I know if there is gas in the Coravin?,"When you press the trigger you should hear a “psst” indicating there is gas in the capsule. If you do not hear gas you may need to replace the capsule. However, you also want to check to ensure that your needle is not clogged."
am i out of gas,How do I know if there is gas in the Coravin?,"When you press the trigger you should hear a “psst” indicating there is gas in the capsule. If you do not hear gas you may need to replace the capsule. However, you also want to check to ensure that your needle is not clogged."
is my capsule empty,How do I know if there is gas in the Coravin?,"When you press the trigger you should hear a “psst” indicating there is gas in the capsule. If you do not hear gas you may need to replace the capsule. However, you also want to check to ensure that your needle is not clogged."
How can I tell if the needle clogged?,How can I tell if the needle clogged?,"Unscrew the needle from the Coravin System and then try a quick press of the trigger. If you hear gas flow, then your needle is probably clogged. If you do NOT hear Gas with the needle removed, then you are likely out of gas and need a new Coravin Capsule."
What to do when nothing comes out?,What to do when nothing comes out?,There are 2 likely issues when you're trying to pour and no wine comes out: 1) You're out of gas or 2) The needle could be clogged. Watch the video to see how to solve these issues.
it's not working,What to do when nothing comes out?,There are 2 likely issues when you're trying to pour and no wine comes out: 1) You're out of gas or 2) The needle could be clogged. Watch the video to see how to solve these issues.
coravin won't pour,What to do when nothing comes out?,There are 2 likely issues when you're trying to pour and no wine comes out: 1) You're out of gas or 2) The needle could be clogged. Watch the video to see how to solve these issues.
How many pours per capsule?,How many pours per capsule?,"The Coravin Capsules should deliver approximately 15 5 oz pours per capsule
If this is not your experience check out this video for some tips on optimizing your usage"
how long do the capsules last,How many pours per capsule?,"The Coravin Capsules should deliver approximately 15 5 oz pours per capsule
If this is not your experience check out this video for some tips on optimizing your usage"
how much gas is used per pour,How many pours per capsule?,"The Coravin Capsules should deliver approximately 15 5 oz pours per capsule
If this is not your experience check out this video for some tips on optimizing your usage"
What if the pour is very slow?,What if the pour is very slow?,"It does take about 25 seconds to finish a full pour. Also, on a first access use several short bursts of the trigger to get the wine to pour as there is very little room in the bottle for the gas to go. Once the flow starts press the trigger for about 1/4  second to complete the first pour. "
its pouring very slowly,What if the pour is very slow?,"It does take about 25 seconds to finish a full pour. Also, on a first access use several short bursts of the trigger to get the wine to pour as there is very little room in the bottle for the gas to go. Once the flow starts press the trigger for about 1/4  second to complete the first pour. "
Get the most out of a Coravin Capsule,Get the most out of a Coravin Capsule,"Here are some tips:

- Ensure the cup and the needle are tightly secured
- Use short presses to control the gas to the pour that you want; if you hear a release of gas after your pour you used too much
- if you are going to finish the bottle pull the cork
- Check out this video for some ideas "
I'm not getting many pour per capsule,Get the most out of a Coravin Capsule,"Here are some tips:

- Ensure the cup and the needle are tightly secured
- Use short presses to control the gas to the pour that you want; if you hear a release of gas after your pour you used too much
- if you are going to finish the bottle pull the cork
- Check out this video for some ideas "
only getting a few pours per capsule,Get the most out of a Coravin Capsule,"Here are some tips:

- Ensure the cup and the needle are tightly secured
- Use short presses to control the gas to the pour that you want; if you hear a release of gas after your pour you used too much
- if you are going to finish the bottle pull the cork
- Check out this video for some ideas "
Capsule doesn't last very long,Get the most out of a Coravin Capsule,"Here are some tips:

- Ensure the cup and the needle are tightly secured
- Use short presses to control the gas to the pour that you want; if you hear a release of gas after your pour you used too much
- if you are going to finish the bottle pull the cork
- Check out this video for some ideas "
Capsule runs out quickly,Get the most out of a Coravin Capsule,"Here are some tips:

- Ensure the cup and the needle are tightly secured
- Use short presses to control the gas to the pour that you want; if you hear a release of gas after your pour you used too much
- if you are going to finish the bottle pull the cork
- Check out this video for some ideas "
Can I use generic capsules,Can I use alternative capsules?,"The Coravin™ System is designed to work exclusively with the Coravin Capsules. Alternative capsules will not work correctly, can damage the Coravin System and will void your warranty."
Do I have to use Coravin capsules,Can I use alternative capsules?,"The Coravin™ System is designed to work exclusively with the Coravin Capsules. Alternative capsules will not work correctly, can damage the Coravin System and will void your warranty."
Can I use alternative capsules?,Can I use alternative capsules?,"The Coravin™ System is designed to work exclusively with the Coravin Capsules. Alternative capsules will not work correctly, can damage the Coravin System and will void your warranty."
Can I recycle Coravin Capsules?,Can I recycle Coravin Capsules?,The Coravin capsules are made from recyclable materials and can be recyclced accoring to your town's regulations
Can Coravin Capsules be refilled or reused?,Can Coravin Capsules be refilled or reused?,"No, the capsules cannot be reused "
What to do if your needle is bent or broken (under warranty)?,What to do if your needle is bent or broken (under warranty)?,"If your Coravin is still under warranty let us know and we can send a replacement needle
If it is not we have replacement needles for sale via web site: www.coravin.com/accessories"
How do I unclog a needle?,How do I unclog a needle?,"These directions should help: 
Unscrew the needle from the handle and let it drop
Tilt it slightly and gently remove it from the Coravin 
Using your cleaning tool poke through the eye of the needle to remove any cork
Slide the tool into the top of the needle and slide down and clean from the eye; repeat as necessary; 
Replace the needle
Here is a helpful video"
Can I get a new needle cleaning tool?,Can I get a new needle cleaning tool?,"We will be happy to send you another needle cleaning tool. 
Please contact us via telephone at 855-692-6728 or by email at csr@coravin.com and we will send you a new one."
how do I get the wire that cleans the needle,Can I get a new needle cleaning tool?,"We will be happy to send you another needle cleaning tool. 
Please contact us via telephone at 855-692-6728 or by email at csr@coravin.com and we will send you a new one."
how do I get that thing that cleans the needle?,Can I get a new needle cleaning tool?,"We will be happy to send you another needle cleaning tool. 
Please contact us via telephone at 855-692-6728 or by email at csr@coravin.com and we will send you a new one."
Can I use a Coravin with older wines?,Can I use a Coravin with older wines?,"Yes - please use a few light presses of the trigger to aviod agitating the sediment
And you may want to use the Vintage needle
Here is a video with some tips"
can i use with very old wine,Can I use a Coravin with older wines?,"Yes - please use a few light presses of the trigger to aviod agitating the sediment
And you may want to use the Vintage needle
Here is a video with some tips"
what about wine with sediment,Can I use a Coravin with older wines?,"Yes - please use a few light presses of the trigger to aviod agitating the sediment
And you may want to use the Vintage needle
Here is a video with some tips"
Will the Coravin work with wax closures?,Will the Coravin work with wax closures?,"If it the thin wax coating that is used in place of foil yes. Otherwise, no."
Why is the cork leaking or dripping?,Why is the cork leaking or dripping?,"- Be sure you are accessing wine with a natural cork
- It's normal to see a bit of residual wine that comes from the needle
- A colder cork may take a bit longer to reseal
- Don't leave the Corvin in the bottle between pours
"
my cork is leaking,Why is the cork leaking or dripping?,"- Be sure you are accessing wine with a natural cork
- It's normal to see a bit of residual wine that comes from the needle
- A colder cork may take a bit longer to reseal
- Don't leave the Corvin in the bottle between pours
"
Will my wine oxidize or become corked?,Will my wine oxidize or become corked?,"As long as the Coravin has been used correctly there should be no impact on your wine
Some tips:
- Ensure Natural Cork
- Purge your needle with a press of gas before inserting into the cork
- Remove the Coravin between pours
- Store the wine horizontally and avoid temperature fluctuations"
will my wine remain fresh,Will my wine oxidize or become corked?,"As long as the Coravin has been used correctly there should be no impact on your wine
Some tips:
- Ensure Natural Cork
- Purge your needle with a press of gas before inserting into the cork
- Remove the Coravin between pours
- Store the wine horizontally and avoid temperature fluctuations"
How does the Coravin System differ from other wine preservation systems?,How does the Coravin System differ from other wine preservation systems?,"The Coravin System is actually not a preservation system; you access the wine by inserting the needle through the cork, meaning no oxygen ever enters the bottle. This way, the wine will stay fresh for months or years, rather than days or weeks."
How does it preserve the wine,How does the Coravin System differ from other wine preservation systems?,"The Coravin System is actually not a preservation system; you access the wine by inserting the needle through the cork, meaning no oxygen ever enters the bottle. This way, the wine will stay fresh for months or years, rather than days or weeks."
How is this better than my vacuum pump,How does the Coravin System differ from other wine preservation systems?,"The Coravin System is actually not a preservation system; you access the wine by inserting the needle through the cork, meaning no oxygen ever enters the bottle. This way, the wine will stay fresh for months or years, rather than days or weeks."
How long will the remaining wine in the bottle last?,How long will the remaining wine in the bottle last?,If you use the Coravin correctly the wine will remain indistinguishable from non-accessed bottles.
When do I need to finish,How long will the remaining wine in the bottle last?,If you use the Coravin correctly the wine will remain indistinguishable from non-accessed bottles.
How long will it last,How long will the remaining wine in the bottle last?,If you use the Coravin correctly the wine will remain indistinguishable from non-accessed bottles.
how long will the wine remain fresh,How long will the remaining wine in the bottle last?,If you use the Coravin correctly the wine will remain indistinguishable from non-accessed bottles.
Do you need to remove the foil?,Do you need to remove the foil?,"No, you don’t! The Coravin Needle will pass through foil or wax capsules without doing damage."
Does the System work with screw caps or plastic corks?,Does the System work with screw caps or plastic corks?,"No, the Coravin is designed for use on bottles sealed with natural cork."
How often do you need to replace the Coravin Needles?,How often do you need to replace the Coravin Needles?,You won't need to replace the needle for several hundred uses if not more
How do you clean the Coravin System?,How do you clean the Coravin System?,"It is very important to regularly clean your Coravin System - place the spout of the System under the faucet, and rinse with warm water. Do this each time you are finished pouring wine with Coravin."
what is the procedure to clean coravin?,How do you clean the Coravin System?,"It is very important to regularly clean your Coravin System - place the spout of the System under the faucet, and rinse with warm water. Do this each time you are finished pouring wine with Coravin."
how often should i clean the coravin,How do you clean the Coravin System?,"It is very important to regularly clean your Coravin System - place the spout of the System under the faucet, and rinse with warm water. Do this each time you are finished pouring wine with Coravin."
do i need to wash the coravin,How do you clean the Coravin System?,"It is very important to regularly clean your Coravin System - place the spout of the System under the faucet, and rinse with warm water. Do this each time you are finished pouring wine with Coravin."
How do you know when it’s time to change the Coravin Capsule?,How do you know when it’s time to change the Coravin Capsule?,You will know that it is time to install a new Coravin Capsule when you press the trigger and do not hear any gas. This means that your old Capsule has run out of argon gas! 
Change coravin,How do you know when it’s time to change the Coravin Capsule?,You will know that it is time to install a new Coravin Capsule when you press the trigger and do not hear any gas. This means that your old Capsule has run out of argon gas! 
How do you know when the capsule is empty,How do you know when it’s time to change the Coravin Capsule?,You will know that it is time to install a new Coravin Capsule when you press the trigger and do not hear any gas. This means that your old Capsule has run out of argon gas! 
How can the wine breathe?,How can the wine breathe?,Pour into the appropriate glass or decanter and let the wine breathe as you normally would
Could using the Coravin spread bacteria between bottles?,Could using the Coravin spread bacteria between bottles?,"When used correctly the Coravin is designed to prevent the spread of bacteria.  The materials used to coat the needle do not harbor bacteria and fungus. In fact, all elements of the wine path leverage FDA approved food-grade materials, so there is little chance of contamination when going from bottle to bottle. "
